Linux 5.15.0-128-generic (gt-ubuntu22-04-cmd-v3-0-32gb-25m) 	06/29/25 	_x86_64_	(10 CPU)

23:32:40      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
23:32:41     1000     16371   99.00   11.00    0.00    0.00  110.00     9  main
23:32:42     1000     16371   98.00    2.00    0.00    0.00  100.00     9  main
23:32:43     1000     16371   99.00    0.00    0.00    0.00   99.00     9  main
23:32:44     1000     16371   99.00    1.00    0.00    0.00  100.00     9  main
23:32:45     1000     16371  100.00    1.00    0.00    0.00  101.00     9  main
23:32:46     1000     16371   99.00    0.00    0.00    0.00   99.00     9  main
23:32:47     1000     16371  100.00    1.00    0.00    0.00  101.00     9  main
23:32:48     1000     16371   98.00    1.00    0.00    0.00   99.00     9  main
23:32:49     1000     16371   99.00    2.00    0.00    0.00  101.00     9  main
23:32:50     1000     16371  100.00    0.00    0.00    0.00  100.00     9  main
23:32:51     1000     16371  100.00    0.00    0.00    0.00  100.00     9  main
23:32:52     1000     16371   99.00    1.00    0.00    0.00  100.00     9  main
23:32:53     1000     16371   96.00    4.00    0.00    0.00  100.00     9  main
23:32:54     1000     16371   99.00    1.00    0.00    0.00  100.00     9  main
23:32:55     1000     16371  100.00    0.00    0.00    0.00  100.00     9  main
