#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
 20250630    12:57:36       0     15     32      -      0      0      0      0      0      0    405    210     16      4      0 
 20250630    12:57:37       0     62     34      -      0      0      0      0      0      0   9501   1695    260      4      0 
 20250630    12:57:38       0     99     35      -      0      0      0      0      0      0   9501   1695    260      4      0 
 20250630    12:57:39       0     99     35      -      0      0      0      0      0      0   9501   1695    260      4      0 
 20250630    12:57:40       0     99     35      -      0      0      0      0      0      0   9501   1695    260      4      0 
 20250630    12:57:41       0    100     35      -      0      0      0      0      0      0   9501   1695    260      4      0 
 20250630    12:57:42       0    100     36      -      0      0      0      0      0      0   9501   1695    260      4      0 
 20250630    12:57:43       0    100     36      -      0      0      0      0      0      0   9501   1695    260      4      0 
 20250630    12:57:44       0    100     36      -      0      0      0      0      0      0   9501   1695    260      4      0 
 20250630    12:57:45       0    100     36      -      0      0      0      0      0      0   9501   1695    260      4      0 
 20250630    12:57:46       0    100     37      -      0      0      0      0      0      0   9501   1695    260      4      0 
 20250630    12:57:47       0    100     37      -      0      0      0      0      0      0   9501   1695    260      4      0 
 20250630    12:57:48       0    100     37      -      0      0      0      0      0      0   9501   1695    260      4      0 
 20250630    12:57:49       0    100     37      -      0      0      0      0      0      0   9501   1695    260      4      0 
 20250630    12:57:50       0    101     38      -      2      0      0      0      0      0   9501   1695    278      4      0 
 20250630    12:57:51       0    102     38      -      0      0      0      0      0      0   9501   1695    262      4      0 
 20250630    12:57:52       0    101     38      -      0      0      0      0      0      0   9501   1695    262      4      0 
 20250630    12:57:53       0    101     38      -      0      0      0      0      0      0   9501   1695    262      4      0 
 20250630    12:57:54       0    102     38      -      0      0      0      0      0      0   9751   1695      1      1      0 
